EntityID,geometry,dataset,group
old_hippo,"POLYGON ((10877.7 6430.48, 10909.8 6468.24, 10978.6 6523.79, 11037 6561.8, 11142.3 6642.21, 11257.8 6718.24, 11294.3 6772.33, 11326.5 6845.43, 11352.8 6930.23, 11348.4 6998.94, 11347 7111.51, 11345.5 7212.39, 11291.4 7270.87, 11219.8 7305.96, 11148.1 7305.96, 11098.4 7305.96, 10993.2 7297.18, 10874.8 7269.41, 10787 7224.09, 10708.1 7086.66, 10654 6884.9, 10597 6750.4, 10569.2 6655.37, 10540 6595.43, 10534.1 6554.49, 10520.9 6513.56, 10845.5 6408.3, 10877.7 6427.3, 10877.7 6430.23, 10877.7 6430.48))",202503071102_SESSA-p30-E165_VMSC10702_region_1,old_SubROI
ctx,"POLYGON ((11330.9 6509.17, 11541.4 6675.84, 12003.4 6126.13, 11757.8 5982.86, 11330.9 6509.17))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI
hippocampus,"POLYGON ((10864.5 6424.38, 10914.2 6482.86, 10977.1 6535.49, 11102.8 6615.9, 11183.2 6664.14, 11273.9 6766.48, 11313.3 6819.11, 11345.5 6930.23, 11333.8 7053.03, 11338.2 7169.99, 11329.4 7210.93, 11301.7 7263.56, 11237.3 7291.34, 11170.1 7304.49, 11082.4 7298.65, 10950.8 7273.79, 10844 7244.55, 10790 7218.24, 10743.2 7148.06, 10667.1 6937.54, 10583.8 6669.99, 10556 6591.04, 10554.6 6532.56, 10567.7 6507.71, 10639.4 6474.09, 10708.1 6453.62, 10779.7 6430.23, 10823.6 6424.38, 10854.3 6421.45, 10864.5 6424.38))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI hippo
cortex,"POLYGON ((11265.1 6488.71, 11575 6702.16, 11993.2 6142.21, 11667.1 5928.76, 11263.6 6488.71, 11265.1 6488.71))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI cortex
SubROI 2 hippo,"POLYGON ((10182 6488.03, 10227.3 6405.27, 10347.5 6354.04, 10465.7 6338.27, 10566.2 6320.54, 10666.7 6320.54, 10822.4 6375.71, 10934.7 6448.62, 11102.2 6560.93, 11287.4 6765.86, 11338.6 6852.56, 11338.6 7025.96, 11330.7 7169.8, 11301.2 7252.56, 11230.2 7280.15, 11049 7280.15, 10863.7 7329.41, 10753.4 7299.85, 10639.1 7284.09, 10532.7 7351.08, 10394.8 7422.02, 10282.5 7490.98, 10203.6 7457.49, 10150.4 7384.58, 10089.3 7191.48, 10046 7059.46, 10075.6 6809.21, 10176 6515.61, 10182 6491.97, 10182 6488.03))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI hippo 2
Ventral ROI,"POLYGON ((10385.7 5971.71, 10161.1 5892.89, 9806.37 5963.83, 9400.46 6216.04, 9030.02 6499.79, 8691.1 7071.22, 8588.64 7465.31, 8533.46 7670.23, 8608.34 7800.28, 8754.15 7729.35, 9234.94 7362.84, 9569.92 7059.39, 9672.38 6976.64, 9778.78 6980.58, 9920.66 7023.93, 10011.3 7090.92, 10090.1 7205.21, 10145.3 7354.96, 10180.8 7457.42, 10263.5 7496.83, 10385.7 7461.37, 10547.3 7311.61, 10732.5 7287.97, 10870.4 7284.03, 11075.3 7272.2, 11244.8 7315.55, 11355.1 7315.55, 11351.2 7220.97, 11339.4 7055.45, 11367 6933.29, 11469.4 6779.59, 11623.1 6720.48, 12127.6 6688.95, 12301 6629.84, 12501.9 6566.78, 12501.9 6235.75, 11918.7 5825.9, 11386.7 5766.78, 11020.2 5687.97, 10634 5727.37, 10385.7 5971.71))",202503071102_SESSA-p30-E165_VMSC10702_region_1,Ventral ROI
Ventral subROI,"POLYGON ((9724.11 6969.41, 9592.84 7030.67, 8879.61 7643.26, 8691.45 8050.2, 8892.73 8675.91, 9343.42 9130.98, 9894.76 9297.25, 11194.3 9275.38, 12598.9 8684.66, 13093.3 8321.49, 13154.6 8006.44, 13242.1 7420.1, 13080.2 6982.54, 12756.4 6785.64, 12620.8 6658.74, 11680 6706.88, 11518.1 6759.38, 11343.1 6938.78, 11325.6 7236.33, 11312.5 7323.84, 11233.7 7323.84, 10940.5 7297.59, 10761.1 7266.96, 10590.5 7288.84, 10459.2 7385.1, 10284.2 7507.62, 10214.2 7476.99, 10148.5 7319.47, 10074.2 7126.94, 9925.38 7017.55, 9732.86 6969.41, 9724.11 6969.41))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI ventral
SubROI dorsal,"POLYGON ((8736.89 6874.5, 8953.99 6483.72, 9763.49 5858, 10144.2 5818.62, 10310.4 5875.5, 10485.5 5787.99, 10743.6 5626.09, 11452.5 5626.09, 12262 5818.62, 12616.4 6343.7, 12555.1 6588.73, 12585.8 6641.24, 12432.6 6667.49, 12178.8 6685, 11872.5 6702.5, 11618.8 6724.38, 11491.9 6785.64, 11373.7 6899.4, 11334.3 7004.42, 11325.6 7249.46, 11303.7 7310.71, 11260 7332.59, 11076.2 7293.21, 10949.3 7293.21, 10857.4 7288.84, 10761.1 7280.08, 10651.7 7280.08, 10594.9 7284.46, 10489.8 7367.6, 10288.6 7485.74, 10240.4 7498.87, 10205.4 7450.73, 10091.7 7192.57, 9999.77 7070.05, 9829.12 7013.17, 9649.72 7013.17, 9457.19 7131.31, 9067.76 7490.12, 8787.72 7770.16, 8713.33 7975.81, 8398.29 7870.8, 8485.8 7402.6, 8713.33 6956.29, 8730.83 6877.53, 8736.89 6874.5))",202503071102_SESSA-p30-E165_VMSC10702_region_1,SubROI dorsal
hippo,"POLYGON ((10890.7 6457.89, 10974 6544.69, 11111.2 6629.76, 11258.7 6735.66, 11310.8 6836.36, 11340.3 6973.51, 11349 7162.75, 11349 7289.48, 11277.8 7315.53, 11095.5 7275.6, 10885.5 7178.37, 10772.6 7082.89, 10618.1 6799.9, 10552.1 6647.12, 10553.9 6558.58, 10649.4 6509.97, 10842.1 6419.69, 10878.5 6431.85, 10890.7 6456.15, 10890.7 6457.89))",202503071102_SESSA-p30-E165_VMSC10702_region_1,hippo
hippo,"POLYGON ((10217.1 6499.55, 10581.7 6548.16, 10604.2 6848.51, 10519.2 7062.05, 10493.1 7213.1, 10441 7345.04, 10328.2 7452.68, 10210.1 7442.26, 10118.1 7286.01, 10085.1 7124.55, 10085.1 6961.36, 10217.1 6499.55))",202503071102_SESSA-p30-E165_VMSC10702_region_1,hippo
