gene,ctrl_mean,mut_mean,log2fc,pvalue,statistic,time_point,pvalue_adj,abs_log2fc,-log10_pvalue,-log10_pvalue_adj,significant,regulation
Ncam1,49.690628,18.88622,-1.3499498984918965,7.671195137164915e-19,1449.0,e16,1.6737153026541635e-17,1.3499498984918965,18.115136969683146,16.776318413129765,True,downregulated
Psen1,28.83031,12.461272,-1.1479642430440107,1.1402416121894183e-18,1468.0,e16,2.432515439337426e-17,1.1479642430440107,17.9430031138191,16.613944394554874,True,downregulated
Trak2,25.526762,10.390408,-1.21962921432315,1.1817889520576417e-18,1470.0,e16,2.466342160815948e-17,1.21962921432315,17.927460074335055,16.60794667297706,True,downregulated
Rasa1,31.216267,13.979155,-1.1048331162731688,1.3855087740756809e-18,1477.0,e16,2.829975368324795e-17,1.1048331162731688,17.85839071959623,16.54821734449238,True,downregulated
Cd99l2,34.479538,15.234029,-1.1279661426233822,1.8200934380646184e-18,1490.0,e16,3.6401868761292365e-17,1.1279661426233822,17.73990631608403,16.43887632042005,True,downregulated
Dyrk1a,41.494095,20.007717,-1.0163429767513277,2.0647258838141876e-18,1496.0,e16,4.045177241758409e-17,1.0163429767513277,17.68513759778433,16.393062444773275,True,downregulated
Igf1r,83.80561,46.246033,-0.8439665250227542,3.1997468401003083e-18,1517.0,e16,6.143513932992591e-17,0.8439665250227542,17.49488438114783,16.21158315244428,True,downregulated
Dlg3,29.668562,12.766527,-1.1555958567410167,3.84918855939827e-18,1526.0,e16,7.245531405926156e-17,1.1555958567410167,17.41463081369097,16.13992975674934,True,downregulated
Dlg1,48.392612,22.708384,-1.0588979741808267,5.7163871002255985e-18,1545.0,e16,1.055333003118572e-16,1.0588979741808267,17.242878369489254,15.976610480084485,True,downregulated
Lrp8,58.55558,22.776491,-1.3247008657409585,6.6044017117383645e-18,1552.0,e16,1.1962689892960058e-16,1.3247008657409585,17.180166518709456,15.922171155270679,True,downregulated
Stx1b,33.083874,14.466753,-1.139918953964312,6.8806387534137325e-18,1554.0,e16,1.2232246672735525e-16,1.139918953964312,17.162371242839175,15.912493769622575,True,downregulated
Fubp1,23.906837,11.032219,-1.0496391245015904,1.2085330858995971e-17,1582.0,e16,2.1094395681156605e-16,1.0496391245015904,16.917741455453324,15.675832911908001,True,downregulated
Fbxo45,27.382595,12.714826,-1.0492702232220306,1.2718026154867027e-17,1584.0,e16,2.1419833523986574e-16,1.0492702232220306,16.895580286216475,15.6691839088494,True,downregulated
Atp6v0b,25.637161,10.996087,-1.1508764421122797,1.2643929640307637e-17,1584.0,e16,2.1419833523986574e-16,1.1508764421122797,16.898117929544824,15.6691839088494,True,downregulated
Pik3ca,34.093803,17.078005,-0.9569808482282006,1.7644436330191213e-17,1600.0,e16,2.9204584270661316e-16,0.9569808482282006,16.753392211069823,15.53454897159319,True,downregulated
Atp6v0c,21.717077,8.228749,-1.2995701866100746,2.3423357985776194e-17,1614.5,e16,3.8112582485330757e-16,1.2995701866100746,16.630350844099155,15.418931622701729,True,downregulated
Efnb2,34.598125,13.648917,-1.2810072439867575,2.4847471194744964e-17,1617.0,e16,3.9221452881054255e-16,1.2810072439867575,16.60471780419633,15.406476322791185,True,downregulated
Cul1,50.419556,26.295023,-0.9136792324625992,2.4921964851503224e-17,1617.0,e16,3.9221452881054255e-16,0.9136792324625992,16.603417720819987,15.406476322791185,True,downregulated
Sun1,29.919714,14.439589,-1.0018926671284252,2.5938908535630548e-17,1619.0,e16,4.0163471280976326e-16,1.0018926671284252,16.586048302227482,15.39616875868617,True,downregulated
Zyg11b,32.688957,15.286625,-1.0485881090455387,3.513643468284705e-17,1634.0,e16,5.35412338024336e-16,1.0485881090455387,16.45424230875198,15.271311625165994,True,downregulated
Set,26.428936,11.968842,-1.0806490437150846,4.378426706110328e-17,1645.0,e16,6.567640059165492e-16,1.0806490437150846,16.358681915888532,15.182590656832852,True,downregulated
Astn1,58.034367,20.928822,-1.4287267729797768,4.7501125226371016e-17,1649.0,e16,6.909254578381238e-16,1.4287267729797768,16.323296102505328,15.160568805007628,True,downregulated
Epb41l3,35.456097,14.921444,-1.1951889184701499,4.748948522709348e-17,1649.0,e16,6.909254578381238e-16,1.1951889184701499,16.32340253802473,15.160568805007628,True,downregulated
Arhgef12,48.255775,23.498274,-1.0076127962994916,7.233884641429024e-17,1670.0,e16,1.0364969038465467e-15,1.0076127962994916,16.14062842120203,14.984431990863287,True,downregulated
Atp6v0a1,51.766514,22.998442,-1.1366819411964755,7.99198253766018e-17,1675.0,e16,1.1282798876696724e-15,1.1366819411964755,16.097345473706763,14.947583153373431,True,downregulated
Nlgn3,27.933176,13.27568,-1.0191652727106781,1.098494243240323e-16,1691.0,e16,1.5283398166821888e-15,1.0191652727106781,15.95920221469751,14.815780072395198,True,downregulated
Hdac4,38.38474,19.049788,-0.9740497645304311,1.1893677499187129e-16,1695.0,e16,1.6311329141742346e-15,0.9740497645304311,15.924683841708804,14.787510648683492,True,downregulated
Atp6v1h,22.910696,9.722169,-1.157059357534785,1.2291566495530938e-16,1697.0,e16,1.6487217005590657e-15,1.157059357534785,15.910392765037749,14.782852645817991,True,downregulated
Ptprj,25.920744,12.071289,-1.042316855066008,1.2365412754192992e-16,1697.0,e16,1.6487217005590657e-15,1.042316855066008,15.907791382426291,14.782852645817991,True,downregulated
Mecp2,26.725237,12.777496,-1.0088860435599285,1.7201495326454033e-16,1714.0,e16,2.2621144538898455e-15,1.0088860435599285,15.764433798220352,14.645485425301239,True,downregulated
Plxna3,21.743143,8.865078,-1.205029288151553,1.802219056427488e-16,1717.0,e16,2.3380139110410652e-15,1.205029288151553,15.744192422449238,14.631152909140646,True,downregulated
Arhgef2,44.032616,23.860394,-0.8571211436880115,2.1932428388276687e-16,1726.0,e16,2.807350833699416e-15,0.8571211436880115,15.658913279984995,14.551703310337126,True,downregulated
Nras,30.447117,16.207022,-0.8699303440479844,2.2362950883172045e-16,1727.0,e16,2.8247937957691007e-15,0.8699303440479844,15.650470890064613,14.549013249305835,True,downregulated
Itgb1,41.852592,20.046677,-1.0257900429198636,2.5656727765666974e-16,1734.0,e16,3.198760864290947e-15,1.0257900429198636,15.590798733928908,14.495018226061822,True,downregulated
Nfib,108.52178,52.660027,-1.029298151035743,2.721702040676218e-16,1737.0,e16,3.349787126986114e-15,1.029298151035743,15.565159421077233,14.474982790728145,True,downregulated
Limk2,26.50344,13.216189,-0.9520773145117355,3.6422027873585413e-16,1752.0,e16,4.425967944131898e-15,0.9520773145117355,15.438635877602318,14.35399173585319,True,downregulated
Gnai3,31.503492,15.684263,-0.9621067585494018,4.699581571242463e-16,1765.0,e16,5.639497885490956e-15,0.9621067585494018,15.32794080789195,14.248759561844325,True,downregulated
Slc38a1,48.095844,24.522524,-0.9438299105165012,5.385132568257214e-16,1772.0,e16,6.382379340156697e-15,0.9438299105165012,15.268803601009655,14.195017386848736,True,downregulated
Ddx3x,38.33075,18.90723,-0.9823651615117581,5.818888626052155e-16,1776.0,e16,6.812357415865937e-15,0.9823651615117581,15.235159955154737,14.166702574498885,True,downregulated
Slc35f1,39.247482,13.56466,-1.4664265070753637,5.952091773495029e-16,1777.5,e16,6.8843471115123225e-15,1.4664265070753637,15.22533038115586,14.162137240492365,True,downregulated
Numb,33.736996,15.149278,-1.1050033463262845,6.594595926686171e-16,1782.5,e16,7.53668105906991e-15,1.1050033463262845,15.180811810001877,14.12281986302419,True,downregulated
Sox11,86.93941,33.864902,-1.3347343628372768,1.4381406282931052e-15,1823.0,e16,1.5869137967372196e-14,1.3347343628372768,14.842198644477797,13.799446664056847,True,downregulated
Nfia,85.537506,45.520027,-0.8954736056690943,1.4108996833127241e-15,1822.0,e16,1.5869137967372196e-14,0.8954736056690943,14.85050386401498,13.799446664056847,True,downregulated
Ddx5,42.635376,23.735353,-0.8189237120895997,1.4381406282931052e-15,1823.0,e16,1.5869137967372196e-14,0.8189237120895997,14.842198644477797,13.799446664056847,True,downregulated
Lrp1,40.713787,19.894053,-0.9974319590189343,1.4941528096641657e-15,1825.0,e16,1.629984883269999e-14,0.9974319590189343,14.825604984180453,13.787816423291053,True,downregulated
Adgrg1,39.27659,13.129639,-1.5112169144502423,1.7403100916582734e-15,1833.0,e16,1.8771884134740926e-14,1.5112169144502423,14.759373361431546,13.72649213503689,True,downregulated
Plxna1,33.80724,15.538662,-1.073544882885818,1.7741564569776947e-15,1834.0,e16,1.892433554109541e-14,1.073544882885818,14.751008083824525,13.722979360224281,True,downregulated
Gnb2,35.848175,18.329361,-0.9307992277070551,3.0762285280277864e-15,1863.0,e16,3.245252073523819e-14,0.9307992277070551,14.511981404639517,13.488751563921042,True,downregulated
Sdc3,35.719166,15.025683,-1.1961474027242693,3.381120987131081e-15,1868.0,e16,3.5281262474411276e-14,1.1961474027242693,14.470939288535236,13.452455882841223,True,downregulated
Crkl,24.749907,12.252044,-0.9583523274025392,6.16675059499172e-15,1900.0,e16,6.36567803353984e-14,0.9583523274025392,14.209943615609555,13.196155331123922,True,downregulated
Sema4c,35.88894,15.460424,-1.164186755702376,6.6066692713387655e-15,1904.0,e16,6.747236702643845e-14,1.164186755702376,14.18001743335025,13.17087405391038,True,downregulated
Arhgap32,30.701054,14.417243,-1.0399859930590218,8.139423801799674e-15,1915.0,e16,8.225101947081776e-14,1.0399859930590218,14.089406338176651,13.08485871042593,True,downregulated
Skp2,24.337986,11.107231,-1.0654328893977003,9.176771090909127e-15,1921.5,e16,9.176771090909126e-14,1.0654328893977003,14.037310101377813,13.037310101377813,True,downregulated
Parp2,16.554382,7.2257724,-1.0936081778271516,1.0868497217771329e-14,1935.0,e16,1.075645085470152e-13,1.0936081778271516,13.963830501465512,12.968331002692189,True,downregulated
Cplx2,37.013275,15.622016,-1.1934079644164575,1.2704586584431699e-14,1939.0,e16,1.2445309307198398e-13,1.1934079644164575,13.896039462610563,12.90499430526349,True,downregulated
Nsf,21.338984,10.994621,-0.8971759359766815,1.2958761222830638e-14,1940.0,e16,1.2566071488805468e-13,0.8971759359766815,13.887436512339082,12.900800473897064,True,downregulated
Fat3,26.37117,9.440846,-1.3904184309011831,1.3236643598630273e-14,1942.0,e16,1.2707177854685063e-13,1.3904184309011831,13.878222124517752,12.895950891478185,True,downregulated
Plaa,22.838474,11.822373,-0.8946285763762198,1.4476566964411794e-14,1946.0,e16,1.3635412514319674e-13,0.8946285763762198,13.839334416397376,12.865331718743052,True,downregulated
Pdpk1,29.414124,14.740132,-0.9502937596165013,1.4487625796464652e-14,1946.0,e16,1.3635412514319674e-13,0.9502937596165013,13.839002780020703,12.865331718743052,True,downregulated
Deaf1,14.981352,6.803872,-1.0341274100305757,1.7890636422286594e-14,1960.0,e16,1.667476792756809e-13,1.0341274100305757,13.747374210032342,12.777940201697946,True,downregulated
Pard6g,19.764322,8.395309,-1.1440942001263434,1.8446782562743357e-14,1962.0,e16,1.7027799288686175e-13,1.1440942001263434,13.734079371353014,12.768841477612225,True,downregulated
Spop,37.23382,18.362148,-0.9816103872097505,1.8746506657634354e-14,1960.0,e16,1.7139663229837123e-13,0.9816103872097505,13.727079649571499,12.765997715601868,True,downregulated
Gnao1,65.170364,34.18682,-0.9111500469371788,1.9101815348989184e-14,1961.0,e16,1.729975729719775e-13,0.9111500469371788,13.718925357433697,12.7619599896589,True,downregulated
Jam3,32.64856,12.239098,-1.345739958813126,2.3761118948713276e-14,1973.0,e16,2.1318387094172658e-13,1.345739958813126,13.62413311159449,12.671245656240131,True,downregulated
Elavl2,24.368,8.328554,-1.4432843862353004,2.950771830634942e-14,1988.0,e16,2.622908293897726e-13,1.4432843862353004,13.53006437115991,12.58121689360729,True,downregulated
Map2,30.123323,12.357765,-1.2203174638722765,3.238262136727259e-14,1990.0,e16,2.852047386475384e-13,1.2203174638722765,13.48968799810081,12.544843263001866,True,downregulated
Idh2,64.58628,34.560894,-0.8831024725474667,3.3057071125418954e-14,1991.0,e16,2.884980752763836e-13,0.8831024725474667,13.480735627788672,12.539857079907328,True,downregulated
Cdkn1b,28.415709,14.00475,-0.9711674811062739,3.42580526221824e-14,1993.0,e16,2.9628586051617207e-13,0.9711674811062739,13.465237327870145,12.528289073617234,True,downregulated
Gosr1,17.76445,8.125809,-1.0399776908277858,3.805399645278608e-14,2000.0,e16,3.261771124524521e-13,1.0399776908277858,13.41959972663979,12.486546516270403,True,downregulated
Mapk1,24.61631,13.250135,-0.8460870492733676,4.335829248553811e-14,2006.0,e16,3.68353635275368e-13,0.8460870492733676,13.362927829299705,12.433735039743556,True,downregulated
Gnaq,27.488407,13.915513,-0.9335613569646976,4.4957747485883584e-14,2008.0,e16,3.7859155777586176e-13,0.9335613569646976,13.347195456312605,12.421829074609509,True,downregulated
Lrrc4c,20.762775,6.8629,-1.468729185001996,4.5951494498230403e-14,2012.0,e16,3.8359508450696685e-13,1.468729185001996,13.337700359320745,12.416126966634788,True,downregulated
Chd6,67.64831,39.749073,-0.752456917098049,4.838635004323505e-14,2012.0,e16,4.00438758978497e-13,0.752456917098049,13.315277137053759,12.39746389324111,True,downregulated
Syne2,82.93493,43.026646,-0.9308943712070931,7.456474668024126e-14,2036.0,e16,6.118133060942873e-13,0.9308943712070931,13.12746645323696,12.213381081943552,True,downregulated
Fbxw11,27.017063,13.867376,-0.9141556598279366,1.0452961090167235e-13,2055.0,e16,8.504103937763174e-13,0.9141556598279366,12.980760666207718,12.070371440474275,True,downregulated
Dll1,18.918488,5.7741265,-1.5560012654041322,1.1259672574755587e-13,2079.0,e16,9.007738059804469e-13,1.5560012654041322,12.948474238351848,12.045384251359906,True,downregulated
Coro2b,47.348156,21.346348,-1.1134218027970688,1.1249922160586998e-13,2059.0,e16,9.007738059804469e-13,1.1134218027970688,12.94885048247213,12.045384251359906,True,downregulated
Cfl1,26.874666,14.425331,-0.8536530713581355,1.2973624803380778e-13,2067.0,e16,1.0293123810946734e-12,0.8536530713581355,12.886938666000175,11.987452803277057,True,downregulated
Vamp3,23.875063,11.518881,-0.9905945813843471,1.3209717766172499e-13,2068.5,e16,1.0394532012725901e-12,0.9905945813843471,12.87910646125779,11.983195058892969,True,downregulated
Cdc37,26.062038,13.025249,-0.948244177373874,1.519889073087557e-13,2076.0,e16,1.1862548863122398e-12,0.948244177373874,12.818188107255171,11.925821985655002,True,downregulated
Atp1a1,60.019558,26.998116,-1.1239420011528025,1.6054368537421232e-13,2079.0,e16,1.2429188545100307e-12,1.1239420011528025,12.794406771760931,11.905557223883598,True,downregulated
Draxin,83.589226,32.17937,-1.3501873858930888,1.7533972908139344e-13,2084.0,e16,1.3466091193451015e-12,1.3501873858930888,12.756119668812518,11.870758448781006,True,downregulated
Ptprf,34.990467,13.396553,-1.3218913960038314,1.9714336375169196e-13,2091.0,e16,1.5020446762033673e-12,1.3218913960038314,12.705217837584057,11.823317149662051,True,downregulated
Prkacb,20.596672,11.014382,-0.8460465332066427,2.1235497435005224e-13,2095.0,e16,1.6052029557169303e-12,0.8460465332066427,12.672937561339296,11.794470049255684,True,downregulated
Smo,60.59145,29.029121,-1.0363678219697436,2.2856976424376294e-13,2099.0,e16,1.714273231828222e-12,1.0363678219697436,12.64098121965625,11.76591995626455,True,downregulated
Srsf11,24.87073,13.509292,-0.8343436445601671,2.427042881792939e-13,2102.5,e16,1.8061714469156757e-12,0.8343436445601671,12.614922550342344,11.743241027602025,True,downregulated
Fbxo31,21.700785,10.222622,-1.016332397921882,2.4881881988804343e-13,2104.0,e16,1.83743128532709e-12,1.016332397921882,12.60411677404386,11.735788893311128,True,downregulated
Ssh1,26.502756,14.312582,-0.8448586305168738,2.7727582045617726e-13,2110.0,e16,2.0319449438009937e-12,0.8448586305168738,12.557088000960581,11.692088063576776,True,downregulated
Epha7,44.319054,18.805685,-1.194203132836035,3.246419922569897e-13,2119.0,e16,2.3610326709599247e-12,1.194203132836035,12.488595305132186,11.626898003298468,True,downregulated
Dock7,25.310705,13.498801,-0.8597162940554881,4.438370504482881e-13,2137.0,e16,3.184568759705888e-12,0.8597162940554881,12.352776446733092,11.496949369595573,True,downregulated
Pak2,30.446909,17.467981,-0.7678920358104144,4.4451272270894684e-13,2137.0,e16,3.184568759705888e-12,0.7678920358104144,12.352115804270333,11.496949369595573,True,downregulated
Nectin1,23.119373,8.809911,-1.29788050346507,4.72592707010692e-13,2141.0,e16,3.36065924985381e-12,1.29788050346507,12.325512984628007,11.473575520083445,True,downregulated
Gphn,33.10396,16.938385,-0.9268891787141572,4.932995896352727e-13,2143.0,e16,3.482114750366631e-12,0.9268891787141572,12.306889245817427,11.458156921148076,True,downregulated
Dnajc5,26.001295,14.535187,-0.7974890203647735,5.765259014770041e-13,2152.0,e16,4.039889528597985e-12,0.7974890203647735,12.239181176459752,11.39363051057659,True,downregulated
Lhfpl4,15.280402,6.0056205,-1.2165516004818469,5.861356990912243e-13,2156.0,e16,4.077465732808517e-12,1.2165516004818469,12.232001826739557,11.389609680101225,True,downregulated
Grk2,37.89131,22.466288,-0.7288582675151469,6.288578110195853e-13,2157.0,e16,4.343190637257567e-12,0.7288582675151469,12.201447540358092,11.362191107572619,True,downregulated
Jun,39.974884,16.111526,-1.2597714003644922,7.998441377784737e-13,2171.0,e16,5.484645516195248e-12,1.2597714003644922,12.096994633880005,11.260851436518674,True,downregulated
Pten,26.56046,13.908589,-0.8864561648679186,8.26253238485639e-13,2173.0,e16,5.625553964157542e-12,0.8864561648679186,12.082886825293068,11.24983470490888,True,downregulated
Sema4g,40.05861,16.53868,-1.2271446530929275,1.0182385918271564e-12,2185.0,e16,6.883866536296268e-12,1.2271446530929275,11.992150446976577,11.162167558320066,True,downregulated
Trp53,20.77535,8.636817,-1.1760673346403672,1.1950072162098315e-12,2199.0,e16,8.022426066863204e-12,1.1760673346403672,11.922629472163,11.095694276588494,True,downregulated
Zmiz1,37.717037,22.426912,-0.7248017374542683,1.4330215223536688e-12,2205.0,e16,9.553476815691126e-12,0.7248017374542683,11.843747286944424,11.019838546000106,True,downregulated
Pak4,32.776443,16.89405,-0.9165374254300446,1.4825715141428967e-12,2207.0,e16,9.815645886739179e-12,0.9165374254300446,11.82898434858862,11.008081117784027,True,downregulated
Nrcam,14.318426,4.1547623,-1.5712902786846483,1.8915688812403284e-12,2230.0,e16,1.243771319171723e-11,1.5712902786846483,11.723177839304938,10.905259462049807,True,downregulated
Src,42.7672,26.31563,-0.6801234110516822,2.2649916247794127e-12,2232.0,e16,1.469183756613673e-11,0.6801234110516822,11.64493339953142,10.832923881886808,True,downregulated
Cul5,20.221478,10.940492,-0.8296628608817995,2.262807286120233e-12,2232.0,e16,1.469183756613673e-11,0.8296628608817995,11.645352431524028,10.832923881886808,True,downregulated
Sqstm1,27.63094,15.355349,-0.8078125027118959,2.3811567252780337e-12,2235.0,e16,1.5341680914543037e-11,0.8078125027118959,11.62321201883981,10.814127054212515,True,downregulated
Kcnip3,29.23191,13.320132,-1.0780273456304625,2.4299858617684434e-12,2237.0,e16,1.555190951531804e-11,1.0780273456304625,11.614396253222186,10.8082162792383,True,downregulated
Cadm1,36.976402,17.112207,-1.068140852918412,2.548745428501803e-12,2239.0,e16,1.609733954843244e-11,1.068140852918412,11.593673540175342,10.793245895080547,True,downregulated
Gosr2,27.618633,15.27798,-0.8140331077875623,2.5483083679530504e-12,2239.0,e16,1.609733954843244e-11,0.8140331077875623,11.593748019665897,10.793245895080547,True,downregulated
Calm1,34.543716,17.786156,-0.9199246651267048,2.819299640683304e-12,2245.0,e16,1.7576055760959376e-11,0.9199246651267048,11.54985876400789,10.755078578263323,True,downregulated
Glg1,59.072144,34.816906,-0.7460554282281865,2.8194922783205666e-12,2245.0,e16,1.7576055760959376e-11,0.7460554282281865,11.549829090466428,10.755078578263323,True,downregulated
Vamp2,25.641533,13.520681,-0.8755679412322432,2.954146655886714e-12,2248.0,e16,1.8296650255814486e-11,0.8755679412322432,11.529567948339794,10.737628413470517,True,downregulated
Rnd3,12.8569765,5.017805,-1.203303218777392,3.043828348680768e-12,2265.0,e16,1.873125137649703e-11,1.203303218777392,11.516579842480537,10.72743320779543,True,downregulated
